단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
조헌가,,,,NNP,*,F,조헌가,*,*,*,*,조헌/NNP/*
위경탕,,,,NNP,*,T,위경탕,Compound,*,*,*,위경/NNP/*+탕/NNP/*
손상,,,,NNP,*,T,손상,*,*,*,*,손상/NNP/*
무릎뼈,,,,NNP,*,F,무릎뼈,*,*,*,*,무릎뼈/NNP/*
조사범폐증,,,,NNP,*,T,조사범폐증,Compound,*,*,*,조사/NNP/*+폐/NNP/*+증/NNP/*
종자골,,,,NNP,*,T,종자골,*,*,*,*,종자골/NNP/*
모갈,,,,NNP,*,T,모갈,*,*,*,*,갈/NNP/*
설리,,,,NNP,*,F,설리,*,*,*,*,설리/NNP/*
역절풍,,,,NNP,*,T,역절풍,*,*,*,*,역절풍/NNP/*
천민도담탕,,,,NNP,*,T,천민도담탕,Compound,*,*,*,천민/NNP/*+담/NNP/*+탕/NNP/*
외감풍한,,,,NNP,*,T,외감풍한,Compound,*,*,*,외감/NNP/*+풍한/NNP/*
음양화평인,,,,NNP,*,T,음양화평인,Compound,*,*,*,음양/NNP/*+평인/NNP/*
자가치료,,,,NNP,*,F,자가치료,Compound,*,*,*,자/NNP/*+치료/NNP/*
산과적,,,,NNP,*,T,산과적,Compound,*,*,*,산/NNP/*+적/NNP/*
신정부족증,,,,NNP,*,T,신정부족증,Compound,*,*,*,신정/NNP/*+부족증/NNP/*
금궤,,,,NNP,*,F,금궤,*,*,*,*,금궤/NNP/*
거원전,,,,NNP,*,T,거원전,Compound,*,*,*,거원/NNP/*+전/NNP/*
등황,,,,NNP,*,T,등황,*,*,*,*,등황/NNP/*
실음,,,,NNP,*,T,실음,*,*,*,*,실음/NNP/*
등척성,,,,NNP,*,T,등척성,*,*,*,*,등척/NNP/*
비소세포,,,,NNP,*,F,비소세포,Compound,*,*,*,비소/NNP/*+세포/NNP/*
고정테이핑,,,,NNP,*,T,고정테이핑,Compound,*,*,*,고정/NNP/*+테이핑/NNP/*
목옆굽힘근,,,,NNP,*,T,목옆굽힘근,Compound,*,*,*,목/NNP/*+옆/NNP/*+굽힘근/NNP/*
오수유,,,,NNP,*,F,오수유,*,*,*,*,오수유/NNP/*
굽힘근,,,,NNP,*,T,굽힘근,*,*,*,*,굽힘근/NNP/*
해조,,,,NNP,*,F,해조,*,*,*,*,해조/NNP/*
잇몸시림,,,,NNP,*,T,잇몸시림,Compound,*,*,*,잇몸/NNP/*+시림/NNP/*
당귀작약산,,,,NNP,*,T,당귀작약산,Compound,*,*,*,당귀/NNP/*+작약/NNP/*+산/NNP/*
캄포의학,,,,NNP,*,T,캄포의학,Compound,*,*,*,캄포/NNP/*+의학/NNP/*
지부자,,,,NNP,*,F,지부자,*,*,*,*,지부자/NNP/*
영양소,,,,NNP,*,F,영양소,*,*,*,*,영양소/NNP/*
강화지황탕,,,,NNP,*,T,강화지황탕,Compound,*,*,*,강화/NNP/*+지황탕/NNP/*
형방사백산,,,,NNP,*,T,형방사백산,Compound,*,*,*,형방/NNP/*+사/NNP/*+백/NNP/*+산/NNP/*
넙다리네갈래근,,,,NNP,*,T,넙다리네갈래근,Compound,*,*,*,넙다리/NNP/*+갈래/NNP/*+근/NNP/*
아토피성,,,,NNP,*,T,아토피성,*,*,*,*,아토피/NNP/*
중이염,,,,NNP,*,T,중이염,*,*,*,*,중이염/NNP/*
한포진,,,,NNP,*,T,한포진,*,*,*,*,포진/NNP/*
천궁계지탕,,,,NNP,*,T,천궁계지탕,Compound,*,*,*,천궁/NNP/*+계지탕/NNP/*
정통산,,,,NNP,*,T,정통산,Compound,*,*,*,정통/NNP/*+산/NNP/*
종양,,,,NNP,*,T,종양,*,*,*,*,종양/NNP/*
절구공이,,,,NNP,*,F,절구공이,Compound,*,*,*,절/NNP/*+구공이/NNP/*
용규,,,,NNP,*,F,용규,*,*,*,*,용규/NNP/*
낭독,,,,NNP,*,T,낭독,*,*,*,*,낭독/NNP/*
증익귀룡환,,,,NNP,*,T,증익귀룡환,Compound,*,*,*,증익/NNP/*+귀/NNP/*+룡/NNP/*+환/NNP/*
청구감로수,,,,NNP,*,F,청구감로수,Compound,*,*,*,청구/NNP/*+감로수/NNP/*
요각통,,,,NNP,*,T,요각통,*,*,*,*,각통/NNP/*
가미이기거풍산,,,,NNP,*,T,가미이기거풍산,Compound,*,*,*,가미이/NNP/*+기거/NNP/*+풍산/NNP/*
