단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,표현
대장증후군,,,,NNP,*,T,대장증후군,*,*,*,*
사암도인,,,,NNP,*,T,사암도인,*,*,*,*
왕앙,,,,NNP,*,T,왕앙,*,*,*,*
소장기쳬증,,,,NNP,*,T,소장기쳬증,*,*,*,*
항염증,,,,NNP,*,T,항염증,*,*,*,*
근육통,,,,NNP,*,T,근육통,*,*,*,*
피로골절,,,,NNP,*,T,피로골절,*,*,*,*
수종,,,,NNP,*,T,수종,*,*,*,*
십육미류기음,,,,NNP,*,T,십육미류기음,*,*,*,*
녹제초,,,,NNP,*,F,녹제초,*,*,*,*
육군자탕과,,,,NNP,*,F,육군자탕과,*,*,*,*
굳은어깨,,,,NNP,*,F,굳은어깨,*,*,*,*
한담조폐증,,,,NNP,*,T,한담조폐증,*,*,*,*
지도설,,,,NNP,*,T,지도설,*,*,*,*
유즙부족,,,,NNP,*,T,유즙부족,*,*,*,*
식소,,,,NNP,*,F,식소,*,*,*,*
돌기윤활낭염,,,,NNP,*,T,돌기윤활낭염,*,*,*,*
고경환,,,,NNP,*,T,고경환,*,*,*,*
천련자,,,,NNP,*,F,천련자,*,*,*,*
반복,,,,NNP,*,T,반복,*,*,*,*
산후우울,,,,NNP,*,T,산후우울,*,*,*,*
무릎아래,,,,NNP,*,F,무릎아래,*,*,*,*
동맥혈류부전,,,,NNP,*,T,동맥혈류부전,*,*,*,*
생간건비탕,,,,NNP,*,T,생간건비탕,*,*,*,*
간풍내동중,,,,NNP,*,T,간풍내동중,*,*,*,*
구음장애,,,,NNP,*,F,구음장애,*,*,*,*
흑두,,,,NNP,*,F,흑두,*,*,*,*
린도인,,,,NNP,*,T,린도인,*,*,*,*
원섬유,,,,NNP,*,F,원섬유,*,*,*,*
풍증,,,,NNP,*,T,풍증,*,*,*,*
인삼양영탕,,,,NNP,*,T,인삼양영탕,*,*,*,*
전신적,,,,NNP,*,T,전신적,*,*,*,*
십회산,,,,NNP,*,T,십회산,*,*,*,*
임계기,,,,NNP,*,F,임계기,*,*,*,*
마발,,,,NNP,*,T,마발,*,*,*,*
사장자반대해,,,,NNP,*,F,사장자반대해,*,*,*,*
임질,,,,NNP,*,T,임질,*,*,*,*
단추구멍,,,,NNP,*,T,단추구멍,*,*,*,*
위식도,,,,NNP,*,F,위식도,*,*,*,*
신기불고증,,,,NNP,*,T,신기불고증,*,*,*,*
임신허약,,,,NNP,*,T,임신허약,*,*,*,*
망양병,,,,NNP,*,T,망양병,*,*,*,*
자가,,,,NNP,*,F,자가,*,*,*,*
역류질환,,,,NNP,*,T,역류질환,*,*,*,*
간비불화,,,,NNP,*,F,간비불화,*,*,*,*
담혈,,,,NNP,*,T,담혈,*,*,*,*
건칠,,,,NNP,*,T,건칠,*,*,*,*
건칠단,,,,NNP,*,T,건칠단,*,*,*,*
척추전방전위증,,,,NNP,*,T,척추전방전위증,*,*,*,*
고삼,,,,NNP,*,T,고삼,*,*,*,*
전호지황탕,,,,NNP,*,T,전호지황탕,*,*,*,*
맨후방구역,,,,NNP,*,T,맨후방구역,*,*,*,*
화피,,,,NNP,*,F,화피,*,*,*,*
토근,,,,NNP,*,T,토근,*,*,*,*
계혈등,,,,NNP,*,T,계혈등,*,*,*,*
순환,,,,NNP,*,T,순환,*,*,*,*
병적,,,,NNP,*,T,병적,*,*,*,*
한포진,,,,NNP,*,T,한포진,*,*,*,*
천민도담탕,,,,NNP,*,T,천민도담탕,*,*,*,*
피타고라스,,,,NNP,*,F,피타고라스,*,*,*,*
웰론,,,,NNP,*,T,웰론,*,*,*,*
금쇄고정환,,,,NNP,*,T,금쇄고정환,*,*,*,*
한열감기의,,,,NNP,*,F,한열감기의,*,*,*,*
달생산,,,,NNP,*,T,달생산,*,*,*,*
객담의,,,,NNP,*,F,객담의,*,*,*,*
신생골,,,,NNP,*,T,신생골,*,*,*,*
기면,,,,NNP,*,T,기면,*,*,*,*
목현,,,,NNP,*,T,목현,*,*,*,*
싸이토카인,,,,NNP,*,T,싸이토카인,*,*,*,*
연골연화증,,,,NNP,*,T,연골연화증,*,*,*,*
홍조,,,,NNP,*,F,홍조,*,*,*,*
복냉,,,,NNP,*,T,복냉,*,*,*,*
인두염과,,,,NNP,*,F,인두염과,*,*,*,*
수기능심증,,,,NNP,*,T,수기능심증,*,*,*,*
한열감기,,,,NNP,*,F,한열감기,*,*,*,*
백지,,,,NNP,*,F,백지,*,*,*,*
해삼,,,,NNP,*,T,해삼,*,*,*,*
소풍보심탕,,,,NNP,*,T,소풍보심탕,*,*,*,*
엄지평근,,,,NNP,*,T,엄지평근,*,*,*,*
미각이상,,,,NNP,*,T,미각이상,*,*,*,*
긴장검사,,,,NNP,*,F,긴장검사,*,*,*,*
앞쪽서랍,,,,NNP,*,T,앞쪽서랍,*,*,*,*
별갑,,,,NNP,*,T,별갑,*,*,*,*
습창,,,,NNP,*,T,습창,*,*,*,*
기능적테이핑,,,,NNP,*,T,기능적테이핑,*,*,*,*
잠버릇,,,,NNP,*,T,잠버릇,*,*,*,*
황토탕흇,,,,NNP,*,T,황토탕흇,*,*,*,*
장종정,,,,NNP,*,T,장종정,*,*,*,*
건리탕,,,,NNP,*,T,건리탕,*,*,*,*
야뇨증,,,,NNP,*,T,야뇨증,*,*,*,*
한수석,,,,NNP,*,T,한수석,*,*,*,*
진주,,,,NNP,*,F,진주,*,*,*,*
비백웅,,,,NNP,*,T,비백웅,*,*,*,*
코피,,,,NNP,*,F,코피,*,*,*,*
넙다리,,,,NNP,*,F,넙다리,*,*,*,*
사이토톡신,,,,NNP,*,T,사이토톡신,*,*,*,*
골수염,,,,NNP,*,T,골수염,*,*,*,*
개결서경탕,,,,NNP,*,T,개결서경탕,*,*,*,*
지루,,,,NNP,*,F,지루,*,*,*,*
구척,,,,NNP,*,T,구척,*,*,*,*
원화,,,,NNP,*,F,원화,*,*,*,*
돌림,,,,NNP,*,T,돌림,*,*,*,*
불어,,,,NNP,*,F,불어,*,*,*,*
척추관협착증,,,,NNP,*,T,척추관협착증,*,*,*,*
성주청간탕,,,,NNP,*,T,성주청간탕,*,*,*,*
소장실열중,,,,NNP,*,T,소장실열중,*,*,*,*
측만증,,,,NNP,*,T,측만증,*,*,*,*
연골모세포,,,,NNP,*,F,연골모세포,*,*,*,*
산후중풍,,,,NNP,*,T,산후중풍,*,*,*,*
고본,,,,NNP,*,T,고본,*,*,*,*
병증,,,,NNP,*,T,병증,*,*,*,*
병,,,,NNP,*,T,병,*,*,*,*
비양허증,,,,NNP,*,T,비양허증,*,*,*,*
계내금,,,,NNP,*,T,계내금,*,*,*,*
분해도,,,,NNP,*,F,분해도,*,*,*,*
낭종성,,,,NNP,*,T,낭종성,*,*,*,*
가동,,,,NNP,*,T,가동,*,*,*,*
태양인,,,,NNP,*,T,태양인,*,*,*,*
관상동맥질환과의,,,,NNP,*,F,관상동맥질환과의,*,*,*,*
족냉,,,,NNP,*,T,족냉,*,*,*,*
대산,,,,NNP,*,T,대산,*,*,*,*
생강,,,,NNP,*,T,생강,*,*,*,*
온포종옥탕,,,,NNP,*,T,온포종옥탕,*,*,*,*
딱지형성병변,,,,NNP,*,T,딱지형성병변,*,*,*,*
근막띠,,,,NNP,*,F,근막띠,*,*,*,*
마황정통탕,,,,NNP,*,T,마황정통탕,*,*,*,*
능동압박,,,,NNP,*,T,능동압박,*,*,*,*
정기천향탕,,,,NNP,*,T,정기천향탕,*,*,*,*
호로파,,,,NNP,*,F,호로파,*,*,*,*
순기활혈탕,,,,NNP,*,T,순기활혈탕,*,*,*,*
위성통중,,,,NNP,*,T,위성통중,*,*,*,*
o\\A분리,,,,NNP,*,F,o\\A분리,*,*,*,*
심폐기허증,,,,NNP,*,T,심폐기허증,*,*,*,*
상기생,,,,NNP,*,T,상기생,*,*,*,*
난간전,,,,NNP,*,T,난간전,*,*,*,*
변증방식,,,,NNP,*,T,변증방식,*,*,*,*
제조,,,,NNP,*,F,제조,*,*,*,*
건실도,,,,NNP,*,F,건실도,*,*,*,*
중한,,,,NNP,*,T,중한,*,*,*,*
도인승기탕,,,,NNP,*,T,도인승기탕,*,*,*,*
방풍해독탕,,,,NNP,*,T,방풍해독탕,*,*,*,*
활석,,,,NNP,*,T,활석,*,*,*,*
청상자,,,,NNP,*,F,청상자,*,*,*,*
접촉성피부염,,,,NNP,*,T,접촉성피부염,*,*,*,*
발열의,,,,NNP,*,F,발열의,*,*,*,*
측두골,,,,NNP,*,T,측두골,*,*,*,*
서영태,,,,NNP,*,F,서영태,*,*,*,*
청혈단,,,,NNP,*,T,청혈단,*,*,*,*
목,,,,NNP,*,T,목,*,*,*,*
청간탕가미,,,,NNP,*,F,청간탕가미,*,*,*,*
반월상,,,,NNP,*,T,반월상,*,*,*,*
실음,,,,NNP,*,T,실음,*,*,*,*
잔류태반,,,,NNP,*,T,잔류태반,*,*,*,*
조중탕,,,,NNP,*,T,조중탕,*,*,*,*
담음,,,,NNP,*,T,담음,*,*,*,*
인삼진피탕,,,,NNP,*,T,인삼진피탕,*,*,*,*
간음허증,,,,NNP,*,T,간음허증,*,*,*,*
세로견인,,,,NNP,*,T,세로견인,*,*,*,*
오령산,,,,NNP,*,T,오령산,*,*,*,*
운동질환,,,,NNP,*,T,운동질환,*,*,*,*
울금,,,,NNP,*,T,울금,*,*,*,*
보폐연자탕,,,,NNP,*,T,보폐연자탕,*,*,*,*
하지직거상,,,,NNP,*,T,하지직거상,*,*,*,*
균형판을,,,,NNP,*,T,균형판을,*,*,*,*
산약,,,,NNP,*,T,산약,*,*,*,*
도진우,,,,NNP,*,F,도진우,*,*,*,*
쌍화탕,,,,NNP,*,T,쌍화탕,*,*,*,*
독삼양붕탕,,,,NNP,*,T,독삼양붕탕,*,*,*,*
은교산,,,,NNP,*,T,은교산,*,*,*,*
사르코이드증,,,,NNP,*,T,사르코이드증,*,*,*,*
영릉향,,,,NNP,*,T,영릉향,*,*,*,*
맹충,,,,NNP,*,T,맹충,*,*,*,*
엽산,,,,NNP,*,T,엽산,*,*,*,*
계지가영출황기탕,,,,NNP,*,T,계지가영출황기탕,*,*,*,*
기흉,,,,NNP,*,T,기흉,*,*,*,*
메니에르,,,,NNP,*,F,메니에르,*,*,*,*
백반,,,,NNP,*,T,백반,*,*,*,*
발등굽힘근,,,,NNP,*,T,발등굽힘근,*,*,*,*
레오나르도다빈치,,,,NNP,*,F,레오나르도다빈치,*,*,*,*
장딴지들기,,,,NNP,*,F,장딴지들기,*,*,*,*
유선염,,,,NNP,*,T,유선염,*,*,*,*
기식화,,,,NNP,*,F,기식화,*,*,*,*
특발성,,,,NNP,*,T,특발성,*,*,*,*
갱년기장애,,,,NNP,*,F,갱년기장애,*,*,*,*
필징가,,,,NNP,*,F,필징가,*,*,*,*
결합조직,,,,NNP,*,T,결합조직,*,*,*,*
관중탕,,,,NNP,*,T,관중탕,*,*,*,*
이청운,,,,NNP,*,T,이청운,*,*,*,*
롤폼(roll,,,,NNP,*,T,롤폼(roll,*,*,*,*
간,,,,NNP,*,T,간,*,*,*,*
긴장골절,,,,NNP,*,T,긴장골절,*,*,*,*
아과양위건폐탕,,,,NNP,*,T,아과양위건폐탕,*,*,*,*
아래팔,,,,NNP,*,T,아래팔,*,*,*,*
하지견인통,,,,NNP,*,T,하지견인통,*,*,*,*
향소산,,,,NNP,*,T,향소산,*,*,*,*
황기,,,,NNP,*,F,황기,*,*,*,*
윤활액,,,,NNP,*,T,윤활액,*,*,*,*
야경증,,,,NNP,*,T,야경증,*,*,*,*
백렴,,,,NNP,*,T,백렴,*,*,*,*
대보음환,,,,NNP,*,T,대보음환,*,*,*,*
흉부,,,,NNP,*,F,흉부,*,*,*,*
전립선비대증,,,,NNP,*,T,전립선비대증,*,*,*,*
부자의,,,,NNP,*,F,부자의,*,*,*,*
장감병,,,,NNP,*,T,장감병,*,*,*,*
퇴행성,,,,NNP,*,T,퇴행성,*,*,*,*
동충하초,,,,NNP,*,F,동충하초,*,*,*,*
마황행인감초석고탕,,,,NNP,*,T,마황행인감초석고탕,*,*,*,*
상부등뼈,,,,NNP,*,F,상부등뼈,*,*,*,*
방광염,,,,NNP,*,T,방광염,*,*,*,*
패란,,,,NNP,*,T,패란,*,*,*,*
마름근,,,,NNP,*,T,마름근,*,*,*,*
손허리뼈,,,,NNP,*,F,손허리뼈,*,*,*,*
콧구멍,,,,NNP,*,T,콧구멍,*,*,*,*
굽힘근,,,,NNP,*,T,굽힘근,*,*,*,*
늑골골절,,,,NNP,*,T,늑골골절,*,*,*,*
골모세포종,,,,NNP,*,T,골모세포종,*,*,*,*
부평,,,,NNP,*,T,부평,*,*,*,*
비해,,,,NNP,*,F,비해,*,*,*,*
당귀수산,,,,NNP,*,T,당귀수산,*,*,*,*
기능적,,,,NNP,*,T,기능적,*,*,*,*
가시돌기,,,,NNP,*,F,가시돌기,*,*,*,*
신경학적,,,,NNP,*,T,신경학적,*,*,*,*
송화분,,,,NNP,*,T,송화분,*,*,*,*
실비산,,,,NNP,*,T,실비산,*,*,*,*
건강,,,,NNP,*,T,건강,*,*,*,*
백모근,,,,NNP,*,T,백모근,*,*,*,*
사역산,,,,NNP,*,T,사역산,*,*,*,*
유방암의,,,,NNP,*,F,유방암의,*,*,*,*
기능장애,,,,NNP,*,F,기능장애,*,*,*,*
전자점액낭염,,,,NNP,*,T,전자점액낭염,*,*,*,*
신경원성,,,,NNP,*,T,신경원성,*,*,*,*
측백엽,,,,NNP,*,T,측백엽,*,*,*,*
치는,,,,NNP,*,T,치는,*,*,*,*
조사범폐증,,,,NNP,*,T,조사범폐증,*,*,*,*
미란성,,,,NNP,*,T,미란성,*,*,*,*
당귀보혈탕,,,,NNP,*,T,당귀보혈탕,*,*,*,*
동맥박리,,,,NNP,*,F,동맥박리,*,*,*,*
전신냉,,,,NNP,*,T,전신냉,*,*,*,*
선방패독산,,,,NNP,*,T,선방패독산,*,*,*,*
변비를,,,,NNP,*,T,변비를,*,*,*,*
어교,,,,NNP,*,F,어교,*,*,*,*
심목남,,,,NNP,*,T,심목남,*,*,*,*
황달,,,,NNP,*,T,황달,*,*,*,*
슬개골,,,,NNP,*,T,슬개골,*,*,*,*
청심강화원,,,,NNP,*,T,청심강화원,*,*,*,*
피부건조,,,,NNP,*,F,피부건조,*,*,*,*
샤르코,,,,NNP,*,F,샤르코,*,*,*,*
소건중탕,,,,NNP,*,T,소건중탕,*,*,*,*
청심산약탕,,,,NNP,*,T,청심산약탕,*,*,*,*
녹용대보탕,,,,NNP,*,T,녹용대보탕,*,*,*,*
공동과,,,,NNP,*,F,공동과,*,*,*,*
무를넙다리,,,,NNP,*,F,무를넙다리,*,*,*,*
간대성근경련발작,,,,NNP,*,T,간대성근경련발작,*,*,*,*
승습탕,,,,NNP,*,T,승습탕,*,*,*,*
징후,,,,NNP,*,F,징후,*,*,*,*
산후혈훈,,,,NNP,*,T,산후혈훈,*,*,*,*
학질,,,,NNP,*,T,학질,*,*,*,*
통경활혈,,,,NNP,*,T,통경활혈,*,*,*,*
익지,,,,NNP,*,F,익지,*,*,*,*
슬개대퇴통증,,,,NNP,*,T,슬개대퇴통증,*,*,*,*
항배강,,,,NNP,*,T,항배강,*,*,*,*
넙다리피부,,,,NNP,*,F,넙다리피부,*,*,*,*
자리,,,,NNP,*,F,자리,*,*,*,*
복통의,,,,NNP,*,F,복통의,*,*,*,*
욱리인,,,,NNP,*,T,욱리인,*,*,*,*
한실결흉,,,,NNP,*,T,한실결흉,*,*,*,*
이학적검진,,,,NNP,*,T,이학적검진,*,*,*,*
청간소요산,,,,NNP,*,T,청간소요산,*,*,*,*
복령백출탕,,,,NNP,*,T,복령백출탕,*,*,*,*
소장기체증,,,,NNP,*,T,소장기체증,*,*,*,*
인삼양위탕과,,,,NNP,*,F,인삼양위탕과,*,*,*,*
해표초,,,,NNP,*,F,해표초,*,*,*,*
충위자,,,,NNP,*,F,충위자,*,*,*,*
위열증,,,,NNP,*,T,위열증,*,*,*,*
형방사백산가미방,,,,NNP,*,T,형방사백산가미방,*,*,*,*
비불통혈증여,,,,NNP,*,F,비불통혈증여,*,*,*,*
어린이,,,,NNP,*,F,어린이,*,*,*,*
광피부염,,,,NNP,*,T,광피부염,*,*,*,*
대퇴골체,,,,NNP,*,F,대퇴골체,*,*,*,*
구고,,,,NNP,*,F,구고,*,*,*,*
면역회피,,,,NNP,*,F,면역회피,*,*,*,*
내상,,,,NNP,*,T,내상,*,*,*,*
정신이상,,,,NNP,*,T,정신이상,*,*,*,*
허혈,,,,NNP,*,T,허혈,*,*,*,*
방광,,,,NNP,*,T,방광,*,*,*,*
옥죽,,,,NNP,*,T,옥죽,*,*,*,*
해마,,,,NNP,*,F,해마,*,*,*,*
거품서경탕,,,,NNP,*,T,거품서경탕,*,*,*,*
앞정강근,,,,NNP,*,T,앞정강근,*,*,*,*
초과,,,,NNP,*,F,초과,*,*,*,*
견봉쇄골관절,,,,NNP,*,T,견봉쇄골관절,*,*,*,*
갑상선기능항진증,,,,NNP,*,T,갑상선기능항진증,*,*,*,*
강직족무지,,,,NNP,*,F,강직족무지,*,*,*,*
아침통,,,,NNP,*,T,아침통,*,*,*,*
온리약,,,,NNP,*,T,온리약,*,*,*,*
척추증,,,,NNP,*,T,척추증,*,*,*,*
불임요인,,,,NNP,*,T,불임요인,*,*,*,*
청포축어탕,,,,NNP,*,T,청포축어탕,*,*,*,*
장요근,,,,NNP,*,T,장요근,*,*,*,*
감수,,,,NNP,*,F,감수,*,*,*,*
우황,,,,NNP,*,T,우황,*,*,*,*
육울,,,,NNP,*,T,육울,*,*,*,*
불환금정기산,,,,NNP,*,T,불환금정기산,*,*,*,*
당뇨,,,,NNP,*,F,당뇨,*,*,*,*
진해탕가미,,,,NNP,*,F,진해탕가미,*,*,*,*
교감단,,,,NNP,*,T,교감단,*,*,*,*
복통,,,,NNP,*,T,복통,*,*,*,*
부유검사,,,,NNP,*,F,부유검사,*,*,*,*
통합의학,,,,NNP,*,T,통합의학,*,*,*,*
무형성증,,,,NNP,*,T,무형성증,*,*,*,*
복원활혈탕,,,,NNP,*,T,복원활혈탕,*,*,*,*
손허리손가락,,,,NNP,*,T,손허리손가락,*,*,*,*
유선,,,,NNP,*,T,유선,*,*,*,*
계심,,,,NNP,*,T,계심,*,*,*,*
진간식풍탕,,,,NNP,*,T,진간식풍탕,*,*,*,*
합방,,,,NNP,*,T,합방,*,*,*,*
구인,,,,NNP,*,T,구인,*,*,*,*
월국환,,,,NNP,*,T,월국환,*,*,*,*
근막이완기법,,,,NNP,*,T,근막이완기법,*,*,*,*
관절이완마사지,,,,NNP,*,F,관절이완마사지,*,*,*,*
체질과,,,,NNP,*,F,체질과,*,*,*,*
후방종골통증,,,,NNP,*,T,후방종골통증,*,*,*,*
중풍,,,,NNP,*,T,중풍,*,*,*,*
궁,,,,NNP,*,T,궁,*,*,*,*
호박,,,,NNP,*,T,호박,*,*,*,*
습열증,,,,NNP,*,T,습열증,*,*,*,*
한숨쉼,,,,NNP,*,T,한숨쉼,*,*,*,*
호초,,,,NNP,*,F,호초,*,*,*,*
곤봉모양손가락,,,,NNP,*,T,곤봉모양손가락,*,*,*,*
일차통증,,,,NNP,*,T,일차통증,*,*,*,*
긴장형두통,,,,NNP,*,T,긴장형두통,*,*,*,*
숙지황,,,,NNP,*,T,숙지황,*,*,*,*
골수종,,,,NNP,*,T,골수종,*,*,*,*
다량,,,,NNP,*,T,다량,*,*,*,*
과형성,,,,NNP,*,T,과형성,*,*,*,*
관절연골,,,,NNP,*,T,관절연골,*,*,*,*
척추염,,,,NNP,*,T,척추염,*,*,*,*
경분감수용호단,,,,NNP,*,T,경분감수용호단,*,*,*,*
지황,,,,NNP,*,T,지황,*,*,*,*
경추성,,,,NNP,*,T,경추성,*,*,*,*
상완삼두근,,,,NNP,*,T,상완삼두근,*,*,*,*
만성기관지염,,,,NNP,*,T,만성기관지염,*,*,*,*
신양허증,,,,NNP,*,T,신양허증,*,*,*,*
요사,,,,NNP,*,F,요사,*,*,*,*
건활액막염,,,,NNP,*,T,건활액막염,*,*,*,*
석위,,,,NNP,*,F,석위,*,*,*,*
비정상,,,,NNP,*,T,비정상,*,*,*,*
야간빈뇨,,,,NNP,*,F,야간빈뇨,*,*,*,*
화농성,,,,NNP,*,T,화농성,*,*,*,*
백단향,,,,NNP,*,T,백단향,*,*,*,*
풍진바이러스,,,,NNP,*,F,풍진바이러스,*,*,*,*
견갑하,,,,NNP,*,F,견갑하,*,*,*,*
치은염,,,,NNP,*,T,치은염,*,*,*,*
몽여귀교,,,,NNP,*,F,몽여귀교,*,*,*,*
맥아,,,,NNP,*,F,맥아,*,*,*,*
칸디다증,,,,NNP,*,T,칸디다증,*,*,*,*
발목관절의,,,,NNP,*,F,발목관절의,*,*,*,*
오적산,,,,NNP,*,T,오적산,*,*,*,*
귀비탕과,,,,NNP,*,F,귀비탕과,*,*,*,*
감국,,,,NNP,*,T,감국,*,*,*,*
근력등급척도,,,,NNP,*,F,근력등급척도,*,*,*,*
언어건삽,,,,NNP,*,T,언어건삽,*,*,*,*
산자고,,,,NNP,*,F,산자고,*,*,*,*
예방,,,,NNP,*,T,예방,*,*,*,*
기궐,,,,NNP,*,T,기궐,*,*,*,*
골담초근,,,,NNP,*,T,골담초근,*,*,*,*
경결,,,,NNP,*,T,경결,*,*,*,*
콧물,,,,NNP,*,T,콧물,*,*,*,*
풍열인후통,,,,NNP,*,T,풍열인후통,*,*,*,*
변혈,,,,NNP,*,T,변혈,*,*,*,*
파행,,,,NNP,*,T,파행,*,*,*,*
울광병,,,,NNP,*,T,울광병,*,*,*,*
사삼,,,,NNP,*,T,사삼,*,*,*,*
장액,,,,NNP,*,T,장액,*,*,*,*
소함흉탕,,,,NNP,*,T,소함흉탕,*,*,*,*
소음성,,,,NNP,*,T,소음성,*,*,*,*
뒤십자인대,,,,NNP,*,F,뒤십자인대,*,*,*,*
활락단,,,,NNP,*,T,활락단,*,*,*,*
정향,,,,NNP,*,T,정향,*,*,*,*
이중환,,,,NNP,*,T,이중환,*,*,*,*
수장번열,,,,NNP,*,T,수장번열,*,*,*,*
허준,,,,NNP,*,T,허준,*,*,*,*
보제소독음,,,,NNP,*,T,보제소독음,*,*,*,*
식학,,,,NNP,*,T,식학,*,*,*,*
구원심신환,,,,NNP,*,T,구원심신환,*,*,*,*
체질의학,,,,NNP,*,T,체질의학,*,*,*,*
점막건조,,,,NNP,*,F,점막건조,*,*,*,*
외림프누공,,,,NNP,*,T,외림프누공,*,*,*,*
마목,,,,NNP,*,T,마목,*,*,*,*
피부의,,,,NNP,*,F,피부의,*,*,*,*
경추,,,,NNP,*,F,경추,*,*,*,*
적용기준,,,,NNP,*,T,적용기준,*,*,*,*
앞쪽불안정시,,,,NNP,*,F,앞쪽불안정시,*,*,*,*
암,,,,NNP,*,T,암,*,*,*,*
소활락단,,,,NNP,*,T,소활락단,*,*,*,*
전이성,,,,NNP,*,T,전이성,*,*,*,*
인통,,,,NNP,*,T,인통,*,*,*,*
부정렬,,,,NNP,*,T,부정렬,*,*,*,*
접근,,,,NNP,*,T,접근,*,*,*,*
사간,,,,NNP,*,T,사간,*,*,*,*
해수,,,,NNP,*,F,해수,*,*,*,*
변성,,,,NNP,*,T,변성,*,*,*,*
음혈모갈,,,,NNP,*,T,음혈모갈,*,*,*,*
대식세포,,,,NNP,*,F,대식세포,*,*,*,*
